true\pred,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc,__UNKNOWN__
alt.atheism,39,0,0,0,0,0,0,10,0,6,3,5,33,26,6,106,4,0,0,0,81
comp.graphics,4,50,3,8,2,1,19,53,0,2,0,0,89,0,1,19,4,0,1,0,133
comp.os.ms-windows.misc,1,5,12,62,3,8,11,51,0,9,1,1,89,1,1,35,1,0,4,0,99
comp.sys.ibm.pc.hardware,1,7,0,32,0,2,13,103,6,20,0,0,79,0,0,20,2,0,1,1,105
comp.sys.mac.hardware,2,4,3,48,16,1,13,98,4,18,0,1,55,0,0,17,1,0,1,2,101
comp.windows.x,5,12,18,18,2,9,16,36,0,7,0,2,95,3,0,20,3,0,2,1,146
misc.forsale,2,3,0,2,0,0,77,70,2,7,2,0,2,1,0,43,5,0,0,6,168
rec.autos,1,5,0,16,0,0,5,176,3,10,0,0,64,7,3,18,2,0,0,2,84
rec.motorcycles,3,3,2,5,0,0,6,115,29,18,6,3,60,7,0,31,18,0,2,1,89
rec.sport.baseball,3,0,0,1,0,0,1,18,0,174,1,0,41,15,0,25,2,0,1,1,114
rec.sport.hockey,1,1,0,3,0,0,0,20,0,63,144,1,14,12,1,32,6,0,0,0,101
sci.crypt,12,2,1,1,0,0,2,5,0,4,0,114,86,6,2,56,9,0,1,0,95
sci.electronics,5,6,0,10,2,0,8,67,1,20,1,6,148,4,0,15,2,0,2,1,95
sci.med,2,0,0,1,0,0,1,25,3,24,3,0,49,158,0,25,2,0,0,1,102
sci.space,5,0,0,1,0,0,0,7,0,9,2,3,86,5,143,16,2,0,1,1,113
soc.religion.christian,12,0,0,0,0,0,0,12,4,7,0,26,53,58,1,117,2,0,0,3,103
talk.politics.guns,11,1,0,0,0,0,0,11,0,20,0,11,32,15,3,130,20,0,4,0,106
talk.politics.mideast,8,0,0,0,0,0,0,19,0,3,2,12,12,28,5,167,7,0,2,0,111
talk.politics.misc,8,0,0,0,0,0,1,6,0,11,2,9,42,24,2,114,8,0,2,0,81
talk.religion.misc,14,1,0,0,0,0,0,12,0,9,1,4,27,20,5,86,6,0,1,2,63
