true\pred,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,139,3,1,0,4,3,0,3,13,16,1,2,5,10,16,64,14,10,6,9
comp.graphics,2,261,20,10,12,21,8,4,6,9,0,3,14,3,13,1,2,0,0,0
comp.os.ms-windows.misc,4,28,236,33,15,14,0,2,5,23,0,4,5,4,12,1,3,2,2,1
comp.sys.ibm.pc.hardware,0,16,37,239,26,5,14,6,1,8,1,3,35,0,1,0,0,0,0,0
comp.sys.mac.hardware,0,9,14,32,246,2,8,13,4,18,3,1,26,1,7,1,0,0,0,0
comp.windows.x,1,58,27,7,4,262,3,1,4,10,0,3,3,3,6,1,0,1,1,0
misc.forsale,0,3,3,15,12,0,311,11,5,10,1,1,8,1,4,1,2,1,1,0
rec.autos,3,3,2,0,2,3,12,265,18,34,2,2,23,6,6,1,8,1,4,1
rec.motorcycles,4,2,0,0,2,0,7,28,298,23,0,2,11,3,7,3,7,0,1,0
rec.sport.baseball,7,4,1,0,1,3,5,1,8,326,22,0,4,2,1,5,0,3,4,0
rec.sport.hockey,6,1,0,0,0,1,0,1,5,31,341,1,1,1,3,3,2,0,1,1
sci.crypt,1,14,2,2,2,5,1,4,7,23,1,259,20,5,6,4,23,7,9,1
sci.electronics,0,22,12,24,16,7,12,15,9,14,2,13,222,10,12,0,2,0,0,1
sci.med,7,15,1,1,1,2,9,8,13,14,3,0,13,279,7,4,5,3,9,2
sci.space,5,9,3,0,2,0,3,6,6,23,1,3,17,12,289,1,3,3,8,0
soc.religion.christian,18,5,2,0,1,1,1,3,1,18,2,0,4,9,4,320,1,0,2,6
talk.politics.guns,7,1,2,1,2,0,2,6,9,19,3,9,4,6,8,8,251,4,16,6
talk.politics.mideast,23,1,2,0,1,0,1,3,9,20,1,2,3,3,3,11,7,273,12,1
talk.politics.misc,21,2,0,0,1,1,1,3,7,14,1,5,3,8,10,4,94,10,123,2
talk.religion.misc,49,5,1,1,0,2,2,5,8,11,2,1,0,10,5,71,22,8,9,39
